years,inv_points_per_year,time_taken_s,Sun_solver_jupiter_mass,Mercury_solver_sun_mass,Mercury_solver_jupiter_mass,Venus_solver_sun_mass,Venus_solver_jupiter_mass,Earth_solver_sun_mass,Earth_solver_jupiter_mass,Mars_solver_sun_mass,Mars_solver_jupiter_mass,Jupiter_solver_sun_mass
25,0.0013,0.1179,-1.2484619809232134e+17,-1.3278633178375096e+20,6.1195042330701464e+16,-1.3286473011576185e+20,-1.2682929151664189e+17,-1.3286897802084522e+20,-1.3337181979340661e+17,-1.3287162623691566e+20,-1.4321534544395987e+17,-1.3285831848939187e+20
40,0.1,0.0193,-1.2751806356272512e+17,-4.631841410147286e+18,-2.5078386232273363e+19,-9.29778208735186e+19,1.1327539703331944e+19,-1.1634259739133801e+20,-1.3723456518991542e+18,-1.2833028729426652e+20,3.557433052186827e+17,-1.33310747968319e+20
40,0.05,0.0214,-1.272858936358794e+17,-6.147373026684293e+19,5.136483448344955e+19,-1.2193018497495361e+20,2.943866795341684e+18,-1.2871557755394715e+20,-3.451143813695753e+17,-1.3185650690917366e+20,1084859889807492.0,-1.3312153537911441e+20
40,0.02,0.0387,-1.2712004116653715e+17,-1.1550722111756981e+20,2.633714174729685e+19,-1.311319165948956e+20,3.710305118551479e+17,-1.3225864766416237e+20,-1.746394435341634e+17,-1.3276539074016505e+20,-1.0942814600479149e+17,-1.3295993997620658e+20
40,0.01,0.0604,-1.2706066087872803e+17,-1.2818140562186373e+20,7.83454804478081e+18,-1.3245082357767324e+20,-2599792396227102.5,-1.327339450633102e+20,-1.4957355851143312e+17,-1.3285979436890497e+20,-1.2604461734416856e+17,-1.3289901594016897e+20
40,0.004,0.0728,-1.27023502125994e+17,-1.3209911905548103e+20,1.2209116868855619e+18,-1.3280038290658673e+20,-1.0751099764689363e+17,-1.328460185594762e+20,-1.3874487741110928e+17,-1.3286502729003044e+20,-1.3075164318039067e+17,-1.3286070905256198e+20
40,0.002,0.1323,-1.2701107409871622e+17,-1.3266669230742708e+20,2.183779075136514e+17,-1.3284275718414454e+20,-1.2246924606714504e+17,-1.3285445555541862e+20,-1.3680731115911782e+17,-1.3285818379111142e+20,-1.3142243910252139e+17,-1.3284764539765812e+20
40,0.0013,0.4231,-1.2700695140661664e+17,-1.3277025756064506e+20,3.10859782587673e+16,-1.3284863597715107e+20,-1.2524687488731371e+17,-1.3285405085475683e+20,-1.363623960747398e+17,-1.3285494803693502e+20,-1.3154464677529382e+17,-1.3284325692288472e+20
50,0.1,0.0328,-1.2598868107140224e+17,-4.4523014832166354e+18,-1.0826856072703486e+19,-9.263617510833899e+19,-2.3802204706005484e+18,-1.1634475220706443e+20,-3.0034898730044483e+18,-1.2818227814967506e+20,-3.5677260402409626e+17,-1.3328305078511862e+20
50,0.05,0.0424,-1.2581685109482312e+17,-6.130659518143289e+19,9.353334995610196e+18,-1.2180405770043898e+20,-1.004989102195401e+18,-1.2868540582908666e+20,-7.787099087400938e+17,-1.3179330595430398e+20,-1.798559054275391e+17,-1.330990130558836e+20
